condition,precision,recall,f1,map50,map50_95,precision_degradation_percent,precision_drop_pp,recall_degradation_percent,recall_drop_pp,f1_degradation_percent,f1_drop_pp,map50_degradation_percent,map50_drop_pp,map50_95_degradation_percent,map50_95_drop_pp
normal,0.893593983705839,0.8576670151269761,0.8678103837976978,0.8855229878087055,0.7107801059989945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dark,0.881479484562476,0.8782446840877588,0.8754352507034,0.8878281057930405,0.7089989506810906,1.3557050924987974,1.2114499143362933,-2.3992608550692878,-2.0577668960782725,-0.8786328267166346,-0.7624866905702188,-0.2603114787611738,-0.230511798433497,0.2505916109456254,0.1781155317903904
bright,0.8668884139923779,0.859702265034139,0.8599461929565495,0.8773161908801923,0.6992872295259501,2.9885574657418714,2.6705569713461053,-0.2373007089309197,-0.20352499071629726,0.9062107331250365,0.7864190841148311,0.92677401281491,0.8206796928513227,1.6169383999417508,1.1492876473044422
blur,0.8298296219223852,0.8242618475848793,0.8181724444035682,0.8469629254142529,0.6469248845370734,7.1357196832296825,6.376436178345379,3.894887753978879,3.340516754209677,5.719906136281165,4.963793939412964,4.3544959222202095,3.8560062394452643,8.983822271189377,6.385522146192113
low_resolution,0.8292572714371749,0.8415022302366235,0.831090240022851,0.8464760724635207,0.6444647152821907,7.19977007923131,6.4336712268664105,1.884739019368652,1.6164784890352557,4.231355657920648,3.672014377484678,4.409475065329401,3.9046915345184785,9.329944684312482,6.631539071680381
