condition,class_id,class_name,ground_truth_objects,precision,recall,f1,map50,map50_95,precision_degradation_percent,precision_drop_pp,recall_degradation_percent,recall_drop_pp,f1_degradation_percent,f1_drop_pp,map50_degradation_percent,map50_drop_pp,map50_95_degradation_percent,map50_95_drop_pp
normal,0,apple,54,1.0,0.7624934393039432,0.8652440029564851,0.8867661911675586,0.5988261068421273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,1,banana,45,0.9605882079774126,1.0,0.9798979755859872,0.9941304347826088,0.887917022077508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,grape,79,0.8275890950318696,0.48615130294130104,0.6125007915878554,0.6869230167978949,0.40741448311349826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,3,kiwi,133,0.8327869531180058,0.8646616541353384,0.848425031954881,0.9239251366819368,0.727636151433688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,4,lemon,43,0.9937315951697394,1.0,0.9968559434753167,0.995,0.9675003615712832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,5,orange,90,0.6910011426716336,0.8666666666666667,0.7689285910536757,0.6894377941359389,0.5346694714464764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,6,peach,44,0.9695170950856626,1.0,0.9845226502524917,0.995,0.8765692830734718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,7,pineapple,59,0.8153792556402251,0.8813559322033898,0.8470848593261242,0.8964960013738561,0.7094606605106084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,8,strawberry,177,0.9658395649226806,0.9717514124293786,0.9687864697599242,0.9923175466037869,0.8292759045093018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,9,watermelon,156,0.879506927441162,0.7435897435897436,0.805857522024237,0.7952337565434744,0.5685316154119817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dark,0,apple,54,0.9589814012052228,0.7592592592592593,0.8475128369103508,0.8681344027482893,0.5951021452568727,4.10185987947772,4.10185987947772,0.4241584094987469,0.32341800446838986,2.049267719342513,1.7731166046134228,2.101093682285944,1.8631788419269268,0.6218769593885541,0.3723961585254676
dark,1,banana,45,0.9649893858749506,1.0,0.9821827973338083,0.9869565217391305,0.8863475892156976,-0.45817529936215,-0.4401177897538022,0.0,0.0,-0.23316935076376014,-0.22848217478210753,0.72162694073912,0.7173913043478253,0.17675445146195645,0.1569432861810438
dark,2,grape,79,0.8078977169688963,0.6388697072579211,0.7135098140740876,0.7198523218952538,0.41096047352562504,2.379366545690767,1.9691378062973275,-31.413760159161736,-15.27184043166201,-16.491247664247922,-10.100902248623223,-4.793740243391395,-3.292930509735892,-0.8703643486181436,-0.3545990412126776
dark,3,kiwi,133,0.798502079842338,0.8796992481203008,0.837136364458221,0.9166810078497845,0.7207058912617246,4.1168840538751335,3.428487327566776,-1.7391304347826086,-1.5037593984962405,1.330543898575147,1.128866749665991,0.7840601521209737,0.7244128832152308,0.9524348341280825,0.6930260171963409
dark,4,lemon,43,0.9781930775678216,1.0,0.9889763427647872,0.995,0.96139070725616,1.5636533725450972,1.5538517601917823,0.0,0.0,0.7904452756793559,0.7879600710529511,0.0,0.0,0.6314885821025059,0.6109654315123114
dark,5,orange,90,0.6737848747083485,0.8721076957724285,0.7602248510004326,0.6942940862191745,0.5360125524478958,2.491496308779096,1.7216267963285126,-0.6278110506648265,-0.544102910576183,1.1319308651686715,0.8703740053243147,-0.7043843729689916,-0.48562920832356804,-0.2511983707964322,-0.1343081001419444
dark,6,peach,44,0.9897328434285901,1.0,0.99483993210178,0.995,0.8647929758413628,-2.0851358315802897,-2.0215748342927498,0.0,0.0,-1.0479476370241234,-1.0317281849288262,0.0,0.0,1.3434542436643795,1.1776307232108985
dark,7,pineapple,59,0.8181179662987742,0.914867338166301,0.8637919827771638,0.9073313119440936,0.7160581491695527,-0.3358818169096953,-0.2738710658549137,-3.802255676561071,-3.3511405962911134,-1.9723081184960085,-1.670712345103964,-1.208628990383965,-1.0835310570237455,-0.9299301604962805,-0.6597488658944273
dark,8,strawberry,177,0.9594512491237751,0.9774011299435028,0.9683430138035408,0.993513694216534,0.8364462930851181,0.6614261861820644,0.6388315798905531,-0.5813953488372039,-0.5649717514124242,0.045774375491979324,0.04434559563833984,-0.12054081043320602,-0.11961476127471116,-0.8646565680766,-0.7170388575816311
dark,9,watermelon,156,0.8651442506060438,0.7402424623578754,0.7978345718098265,0.8015177113181445,0.5621727297508972,1.633037374350756,1.436267683511816,0.4501516139408994,0.33472812318682266,0.9955792426256169,0.8022950214410463,-0.7902022170165014,-0.6283954774670142,1.118475294725104,0.6358885661084557
bright,0,apple,54,0.9349728753023185,0.7988355333556326,0.8615595030979282,0.898406702097988,0.6062934611866712,6.502712469768146,6.502712469768146,-4.766217278520456,-3.634209405168942,0.42583361987684315,0.36844998585569,-1.3126922345903762,-1.1640510930429393,-1.2469987963488187,-0.746735434454382
bright,1,banana,45,0.9655439414175794,1.0,0.9824699627129321,0.995,0.8837756930322008,-0.5159061290791198,-0.4955733440166754,0.0,0.0,-0.2624749913792578,-0.25719871269448413,-0.08746993221079533,-0.08695652173912327,0.4664094664631476,0.4141329045307174
bright,2,grape,79,0.7598844812245742,0.5569620253164557,0.642788354705175,0.6386280643884941,0.3731025847165697,8.180945618270645,6.770461380729542,-14.565572887851431,-7.081072237515462,-4.944901873318681,-3.0287563117319616,7.030620786959319,4.829495240940085,8.421865156759752,3.4311898396928555
bright,3,kiwi,133,0.8170034703023443,0.8727797767378264,0.8439710923321255,0.8914038124305095,0.7005197269890406,1.8952605773381905,1.5783482815661443,-0.9388785270703524,-0.8118122602488009,0.5249656074494842,0.44539396227554207,3.519909022956134,3.2521324251427286,3.7266461254321777,2.7116424444647347
bright,4,lemon,43,0.9909814074709878,1.0,0.9954702778764429,0.995,0.9613900539867111,0.276753573310891,0.27501876987515717,0.0,0.0,0.13900359504733945,0.13856655988737643,0.0,0.0,0.6315561034673475,0.6110307584572094
bright,5,orange,90,0.6649238361486495,0.7717359653153184,0.7143592909447918,0.6937688748267873,0.5281003745469997,3.7738441968649767,2.6077306522984123,10.95354246361711,9.493070135134829,7.0967968604349485,5.456930010888394,-0.628204709356918,-0.4331080690848421,1.2286276382500207,0.6569096899476712
bright,6,peach,44,0.9109463822791299,1.0,0.9533981599134883,0.9606521739130433,0.8456502544796397,6.041225379461475,5.85707128065327,0.0,0.0,3.161378799260862,3.112449033900344,3.452042822809723,3.4347826086956745,3.5272772148052276,3.091902859383211
bright,7,pineapple,59,0.8103152766771349,0.8689141180257175,0.8385922568741964,0.8899058792733547,0.6970195490899918,0.6210581061587124,0.5063978963090188,1.411667377851282,1.2441814177672317,1.002568084935895,0.8492602451927844,0.7350977684676981,0.6590122100501361,1.753601307740252,1.2441111420616657
bright,8,strawberry,177,0.9505683001238086,0.9777952315904387,0.9639895547452412,0.9930246310451233,0.8235254312949364,1.5811388716608035,1.5271264798872086,-0.6219511578532793,-0.6043819161060116,0.49514678047390287,0.4796915014683045,-0.07125586398793227,-0.07070844413363808,0.6934330520272449,0.5750473214365392
bright,9,watermelon,156,0.8637441689772514,0.75,0.8028634763631738,0.8173717708266224,0.5734951659367403,1.7922267547989417,1.576275846391062,-0.8620689655172383,-0.6410256410256387,0.37153536192631775,0.2994045661063205,-2.7838373435468884,-2.213801428314799,-0.87304740672369,-0.49635505247586087
blur,0,apple,54,0.7971788376857778,0.7037037037037037,0.7475304497503923,0.7923310158204562,0.5294494863970598,20.282116231422222,20.282116231422222,7.710195599047621,5.878973560023947,13.604665597666424,11.771355320609278,10.649388337952374,9.443517534710244,11.58543684925844,6.937662044506753
blur,1,banana,45,0.9570964018161482,0.9915824525168029,0.9740342748602645,0.9941489361702128,0.8498601227539275,0.3635070816262341,0.34918061612644324,0.8417547483197119,0.8417547483197119,0.5983991060106221,0.5863700725722731,-0.0018610623874632552,-0.0018501387604064057,4.286087368224642,3.8056899323580473
blur,2,grape,79,0.7338652413338568,0.5443037974683544,0.6250278727802299,0.6369477040224706,0.3757567519190242,11.324926133107594,9.372385369801284,-11.961809867672997,-5.8152494527053396,-2.0452351024557975,-1.2527081192374445,7.275242138250838,4.997531277542433,7.770399066950893,3.1657731194474072
blur,3,kiwi,133,0.8612373287780186,0.7933336380552622,0.8258920976670413,0.849977496831449,0.5962500320511914,-3.41628498783427,-2.845037566001285,8.249240120565323,7.132801608007611,2.655854487923447,2.2532934287839645,8.003639787965248,7.39476398504878,18.056568399415244,13.138611938249657
blur,4,lemon,43,0.9597246773143457,1.0,0.9794484790889869,0.994090909090909,0.9594815480605611,3.4221431642801843,3.400691785539367,0.0,0.0,1.7462367055406751,1.7407464386329785,0.09136592051165532,0.09090909090909705,0.8288176241814543,0.8018813510722089
blur,5,orange,90,0.6477200244939625,0.8666666666666667,0.7413659375614411,0.6500133895622264,0.4742660718854367,6.263537859044969,4.328111817767111,0.0,0.0,3.584553079820464,2.7562653492234634,5.718341075734381,3.9424404573712435,11.29733466876768,6.040339956103969
blur,6,peach,44,0.6726299028290174,1.0,0.8042782228051272,0.9768842810269596,0.8299107166558889,30.622171982476857,29.688719225664528,0.0,0.0,18.30779895222714,18.024442744736458,1.820675273672405,1.8115718973040429,5.322861217995945,4.6658566417582925
blur,7,pineapple,59,0.7922039409313085,0.7627118644067796,0.7771782146709086,0.8332932716190512,0.5444637359798874,2.8422742605488027,2.317531470891654,13.461538461538463,11.864406779661019,8.252614113635312,6.990664465521556,7.049973414041826,6.32027297548049,23.2566699909718,16.4996924530721
blur,8,strawberry,177,0.9659360527548058,0.9265536723163842,0.9458350923084572,0.9872234610233455,0.7918358361150253,-0.009990047584440099,-0.009648783212512502,4.651162790697677,4.519774011299438,2.369085259536565,2.2951377451467025,0.51335236365375,0.5094085580441443,4.514790335844919,3.7440068394276493
blur,9,watermelon,156,0.910703811286611,0.6537626807148391,0.7611338025428337,0.7547187889754489,0.5179745435527313,-3.5470879048347337,-3.1196883845449053,12.080191214211293,8.98270628749045,5.549829623611577,4.47237194814033,5.0947243165488825,4.051496756802553,8.89256999764466,5.055707185925041
low_resolution,0,apple,54,0.8011553092366844,0.7461963676917505,0.7726998207622379,0.8143219171502696,0.5466324428251793,19.884469076331555,19.884469076331555,2.1373392572491947,1.6297071612192737,10.695732288005404,9.254418219424721,8.169489854130033,7.244427401728903,8.715996751074883,5.219366401694803
low_resolution,1,banana,45,0.9780276763036374,0.9892731099673229,0.983618252707548,0.9945652173913044,0.8437366612053051,-1.8154988975915949,-1.7439468326224783,1.0726890032677128,1.0726890032677128,-0.37965963949828535,-0.37202771215607555,-0.04373496610540325,-0.04347826086956719,4.975730814218618,4.4180360872202895
low_resolution,2,grape,79,0.6951010854744639,0.6075949367088608,0.6484089808262002,0.6457136179232137,0.3755210430428114,16.00891195313584,13.24880095574057,-24.980624968565206,-12.144363376755972,-5.862553931604879,-3.5908189238344823,5.9991291406684315,4.120939887468122,7.828253877219654,3.189344007068684
low_resolution,3,kiwi,133,0.8425802282705643,0.8048812747241711,0.8232994178680508,0.8631082904843617,0.623993452616899,-1.1759640464937569,-0.9793275152558567,6.913730836248034,5.978037941116721,2.9614418646910328,2.5125614086830117,6.58244307715068,6.08168461975751,14.243753366648706,10.3642698816789
low_resolution,4,lemon,43,0.9644774724916694,1.0,0.9819175694271133,0.995,0.9558894690462685,2.943865609211423,2.925412267807004,0.0,0.0,1.4985489273529429,1.4938374048203418,0.0,0.0,1.200091802152698,1.1610892525014682
low_resolution,5,orange,90,0.6499890334383758,0.8444444444444444,0.7345654876715613,0.6355878416046892,0.4608121042963709,5.935172418773688,4.101210923325782,2.564102564102568,2.2222222222222254,4.468958988119576,3.4363103382114457,7.810705039566181,5.384995253124969,13.813649571256484,7.385736715010549
